Empresa,Puesto,Ciudad,Fecha,Habilidades
Especialista De Producto Y Mantenimiento,Especialista de Producto y Mantenimiento en Formosa,Formosa,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda)"
Analista De Aseguramiento De La,Analista de Aseguramiento de la Calidad Jr.,CABA,No especificada,"c (Técnica), técnico (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda)"
Responsable Tecnológico Para El Programa,Responsable tecnológico para el programa de desarrollo e integración de Salto Grande,Salto,No especificada,"c (Técnica), comunicación (Blanda)"
Jefe Y Gerente De Mantenimiento,Jefe y Gerente de Mantenimiento en Hospitales,AMBA,No especificada,"c (Técnica), comunicación (Blanda)"
Asesor Técnico Comercial En El,Asesor técnico comercial en el área de cardiología,Buenos Aires,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), disponibilidad para viajar (Blanda)"
Analista De Aseguramiento De La,Analista de Aseguramiento de la Calidad Jr.,CABA,No especificada,"c (Técnica), técnico (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda)"
Profesional En Bioingeniería Para Especialista,Profesional en Bioingeniería para Especialista de Producto,No especificada,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda), capacidad de comunicación (Blanda), disponibilidad para viajar (Blanda)"
Product Manager Para Empresa Proveedora,Product Manager para empresa proveedora de Laboratorios,No especificada,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), perfil comercial (Blanda), disponibilidad para viajar (Blanda)"
Analista En Diseño Y Desarrollos,Analista en Diseño y Desarrollos de Productos Médicos,No especificada,No especificada,"c (Técnica), analista (Técnica), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para el área de Servicio Técnico,Buenos Aires,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad horaria (Blanda), disponibilidad para viajar (Blanda)"
Ejecutiva,Ejecutiva/o de ventas de software para diagnóstico por imágenes,Córdoba,No especificada,"software (Técnica), c (Técnica), técnico (Técnica), licenciado (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Ingeniero,Ingeniero/a de Servicio para empresa de Biotecnología,CABA,No especificada,"programación (Técnica), c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), proactividad (Blanda), orientación al cliente (Blanda), disponibilidad para viajar (Blanda)"
Ingeniero,Ingeniero/a de servicio técnico para citometría de flujo,No especificada,No especificada,"informática (Técnica), c (Técnica), técnico (Técnica), ingeniero (Técnica), herramientas informáticas (Técnica), experiencia (Blanda), comunicación (Blanda)"
Analista De Asuntos Regulatorios Para,Analista de asuntos regulatorios para empresa fabricante,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda)"
Analista De Asuntos Regulatorios Para,Analista de asuntos regulatorios para empresa fabricante,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda)"
Aplicacionista Clínico - Tecnología Médica,Aplicacionista Clínico - Tecnología Médica,CABA,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Ejecutivo,Ejecutivo/a de Ventas,CABA,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Senior Bioinformatics Scientist In Puna,Senior Bioinformatics Scientist,Buenos Aires,No especificada,"c (Técnica), comunicación (Blanda)"
Especialista En Bioinformática In Stämm,Especialista en bioinformática,Buenos Aires,No especificada,"informática (Técnica), python (Técnica), c (Técnica), c++ (Técnica), comunicación (Blanda)"
Dos Puestos En Empresa De,Dos puestos en empresa de ultrasonido diagnóstico,Buenos Aires,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Representante Comercial Para Sistemas De,Representante Comercial para Sistemas de Radioterapia,CABA,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Ejecutivo,Ejecutivo/a de Ventas Equipos médicos y odontológicos,No especificada,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), orientación al cliente (Blanda), disponibilidad para viajar (Blanda)"
Especialista De Producto Para Lentes,Especialista de Producto para Lentes Intraoculares,No especificada,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda)"
Jefe De Ingeniería Clinica Swiss,Jefe de Ingeniería Clinica,Buenos Aires,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), proactividad (Blanda), orientación al cliente (Blanda)"
Asesor Comercial En Empresa De,Asesor Comercial en empresa de ecógrafos,Buenos Aires,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), perfil comercial (Blanda)"
Servicio Técnico De Equipos De,Servicio Técnico de equipos de estética,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Técnico,Técnico/Ingeniero de Campo en Formosa,Formosa,No especificada,"c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Especialista En Soluciones It En,Especialista en Soluciones IT en equipos de laboratorio,San Miguel de Tucumán,No especificada,"informática (Técnica), c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), docencia (Blanda)"
Ingeniero,Ingeniero/a de Servicio Técnico Jr,No especificada,No especificada,"c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Ejecutiva,Ejecutiva/o de negocios para soluciones de soft en diagnóstico por Imágenes,Rosario,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), perfil comercial (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniero,Bioingeniero/a para área de desarrollo de implantes,CABA,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad horaria (Blanda)"
Jefe De Servicio Técnico Para,Jefe de Servicio Técnico,Córdoba,No especificada,"software (Técnica), c (Técnica), técnico (Técnica), reparación de equipos (Técnica), experiencia en reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda)"
Asesor Comercial En Empresa De,"Asesor
Comercial en empresa de ecógrafos",Buenos Aires,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), perfil comercial (Blanda)"
Servicio Técnico De Equipos De,"Servicio
Técnico de equipos de estética",No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Co-Director Técnico Para Empresa De,Co-director Técnico para empresa de Córdoba,Córdoba,No especificada,"informática (Técnica), c (Técnica), técnico (Técnica), herramientas informáticas (Técnica), iso 13485 (Técnica), comunicación (Blanda)"
Aplicacionista Clínico Para Línea De,Aplicacionista Clínico para línea de Radioterapia,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), orientación a resultados (Blanda), disponibilidad para viajar (Blanda)"
Bioingenieros,Bioingenieros/as para el Gobierno de la Ciudad Autónoma de Buenos Aires,Buenos Aires,No especificada,"informática (Técnica), c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Responsable Técnico Para Empresa Fabricante,Responsable Técnico para empresa fabricante,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para oficina técnica de empresa de proyectos hospitalarios,No especificada,No especificada,"informática (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), herramientas informáticas (Técnica), comunicación (Blanda), trabajo en equipo (Blanda), capacidad de aprendizaje (Blanda), disponibilidad horaria (Blanda)"
Senior Business Systems Analyst,Senior Business Systems Analyst (Bioinformatics),Buenos Aires,No especificada,"software (Técnica), c (Técnica), comunicación (Blanda)"
Coordinador-A De Proyectos Complejos Multidisciplinarios,Coordinador-a de proyectos complejos multidisciplinarios para IVAP,No especificada,No especificada,"software (Técnica), c (Técnica), técnico (Técnica), ingeniero (Técnica), autocad (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), capacidad de comunicación (Blanda)"
Bioingenieros,Bioingenieros/as para el Hospital Privado de Córdoba,Córdoba,No especificada,"programación (Técnica), c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), capacidad de organización (Blanda), disponibilidad horaria (Blanda)"
Senior Bioinformatician Zs - Buenos,Senior Bioinformatician,Buenos Aires,No especificada,"c (Técnica), comunicación (Blanda)"
Vendedor,Vendedor/a de Tecnologia Médica - Zona centro de Prov. de Buenos Aires,Buenos Aires,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Técnico Medicinal - Unidad Gases,Técnico Medicinal - Unidad Gases Terapéuticos,Buenos Aires,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), orientación a resultados (Blanda)"
Convocatoria De La Provincia De,Convocatoria de la Provincia de Tierra del Fuego a Bioingenieros/as,Ushuaia,29/9/2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Coordinador,Coordinador/a de Postventa en Córdoba Capital,Córdoba,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia en reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda)"
Vacante De Técnico En Producción,Vacante de Técnico en Producción de Medicamentos en Paraná,Paraná,30 de septiembre de 2022,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda)"
Asesor Comercial Para Empresa De,Asesor Comercial para empresa de Equipamiento Médico de Alta Complejidad,Santa Fe,30 de septiembre de 2022,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), perfil comercial (Blanda), disponibilidad para viajar (Blanda)"
Desarrollador Mobile Para Aplicaciones Médicas,Desarrollador Mobile para Aplicaciones Médicas,No especificada,30 de septiembre de 2022,"informática (Técnica), programación (Técnica), software (Técnica), c (Técnica), desarrollador (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a para sanatorio ubicado en CABA,CABA,30 de septiembre de 2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Remote Back-End Engineering - Bioinformatics,Remote Back-End Engineering  - Bioinformatics,No especificada,30 de septiembre de 2022,"c (Técnica), comunicación (Blanda)"
Bioingenieros,"Bioingenieros/as
para el Ministerio de Salud de la Nación",CABA,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda), proactividad (Blanda), disponibilidad para viajar (Blanda)"
Nacional De Entre Ríos. Se,"Service
Engineer para línea de Diagnóstico In Vitro",No especificada,No especificada,"c (Técnica), redes (Técnica), comunicación (Blanda), trabajo en equipo (Blanda), capacidad de trabajo bajo presión (Blanda), orientación al cliente (Blanda), resolución de problemas (Blanda), disponibilidad para viajar (Blanda)"
Vacante En El Servicio De,Vacante en el Servicio de Postventa de empresa de equipamiento,CABA,4 de octubre de 2022,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Gerente De Producto En Empresa,Gerente de Producto en empresa de tecnología médica,CABA,5 de octubre de 2022,"c (Técnica), técnico (Técnica), comunicación (Blanda)"
Personal Para El Área De,Personal para el Área de Diseño y Desarrollo de PM,No especificada,No especificada,"c (Técnica), iso 13485 (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), proactividad (Blanda)"
Jefe De Servicio Técnico De,Jefe de servicio técnico de equipamiento de diagnóstico por Imágenes,Buenos Aires,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), liderazgo (Blanda), proactividad (Blanda), capacidad de liderazgo (Blanda)"
Desarrollo De Software Para Empresa,Desarrollo de Software para empresa de movilidad eléctrica,Paraná,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda), trabajo en equipo (Blanda)"
Senior Software Engineer Backend Impact,Senior Software Engineer Backend,San Francisco,No especificada,"software (Técnica), sql (Técnica), c (Técnica), comunicación (Blanda)"
Responsable De Equipamiento Médico Para,Responsable de Equipamiento Médico para Fresenius,No especificada,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), proactividad (Blanda), capacidad de gestión (Blanda), orientación a resultados (Blanda)"
Aplicacionista Clínico - Tecnología Médica,Aplicacionista Clínico - Tecnología Médica,Buenos Aires,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniero,Bioingeniero/a Junior para Ingeniería en Rehabilitación,CABA,No especificada,"programación (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda), trabajo en equipo (Blanda)"
Concurso De Carrera Del Personal,Concurso de Carrera del Personal de Apoyo CONICET: Informático,Santa Fe,No especificada,"informática (Técnica), programación (Técnica), python (Técnica), c (Técnica), c++ (Técnica), técnico (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), resolución de problemas (Blanda)"
Decision Analytics Consultant,Decision Analytics Consultant/Bioinformatics,Buenos Aires,No especificada,"c (Técnica), comunicación (Blanda)"
Ingeniero,Ingeniero/a de Servicio Técnico Jr.,No especificada,No especificada,"c (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Analista De Procesos Sr En,Analista de procesos Sr en Clínica de CABA,Buenos Aires,No especificada,"software (Técnica), c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), analista (Técnica), experiencia (Blanda), comunicación (Blanda), proactividad (Blanda)"
Profesional De La Bioinformática Para,Profesional de la Bioinformática para análisis de datos biológicos masivos,No especificada,No especificada,"informática (Técnica), bases de datos (Técnica), sql (Técnica), python (Técnica), c (Técnica), c++ (Técnica), bioinformático (Técnica), experiencia (Blanda), comunicación (Blanda)"
Especialista De Servicio Técnico En,Especialista de Servicio Técnico en Rosario,Rosario,No especificada,"c (Técnica), técnico (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda)"
Personal Para El Área De,Personal para el Área de Diseño y Desarrollo de PM,No especificada,No especificada,"c (Técnica), iso 13485 (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), proactividad (Blanda)"
Bioingeniero,Bioingeniero/a para línea de Ultrasonido en Córdoba,Córdoba,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Service Engineer Para Sede Argentina,Service Engineer para sede Argentina de empresa multinacional,No especificada,No especificada,"c (Técnica), comunicación (Blanda)"
Consultor,Consultor/a en Asuntos Regulatorios y Calidad para Dispositivos Médicos,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), iso 13485 (Técnica), experiencia (Blanda), comunicación (Blanda)"
Bioingeniero,Bioingeniero/a Jr. para post-venta de equipos de Cardiología,CABA,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), empatía (Blanda), proactividad (Blanda), orientación al cliente (Blanda), orientación a resultados (Blanda)"
Especialista De Aplicación De Ecografos,Especialista de Aplicación de Ecografos,No especificada,No especificada,"c (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad horaria (Blanda), disponibilidad para viajar (Blanda)"
Coordinador,Coordinador/a de Servicio Técnico,No especificada,No especificada,"informática (Técnica), c (Técnica), técnico (Técnica), herramientas informáticas (Técnica), redes (Técnica), experiencia (Blanda), comunicación (Blanda)"
Personal Para El Departamento De,Personal para el Departamento de Física Médica de institución de Comodoro Rivadavia,Comodoro Rivadavia,3 de noviembre de 2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda)"
Bioingeniero,Bioingeniero/apara el área de Diseño 3D de Prótesis,No especificada,4 de noviembre de 2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), comunicación (Blanda)"
Especialista En Asuntos Regulatorios Consultora,Especialista en Asuntos Regulatorios,CABA,7 de noviembre de 2022,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda)"
Personal Técnico Junior O Semi,Personal técnico junior o semi senior para imágenes,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), reparación de equipos (Técnica), experiencia (Blanda), comunicación (Blanda), disponibilidad para viajar (Blanda)"
Bioingeniera,Bioingeniera/o para empresa de mantenimiento de equipamiento médico,Buenos Aires,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), trabajo en equipo (Blanda), empatía (Blanda), proactividad (Blanda), orientación al cliente (Blanda), orientación a resultados (Blanda)"
12 Puestos De Bioingenieros,12 puestos de Bioingenieros/as en el Ministerio de salud del GCABA,Buenos Aires,No especificada,"informática (Técnica), c (Técnica), bioingeniero (Técnica), técnico (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda)"
Director Técnico Para Empresa De,Director Técnico para empresa de Equipamiento de Estética,Córdoba,No especificada,"c (Técnica), técnico (Técnica), comunicación (Blanda)"
Especialista En Equipamiento Médico De,Especialista en equipamiento médico de radioterapia para el área comercial,No especificada,No especificada,"c (Técnica), bioingeniero (Técnica), ingeniero (Técnica), experiencia (Blanda), comunicación (Blanda), orientación a resultados (Blanda), disponibilidad para viajar (Blanda)"
Senior Software Engineer Backend Impact,Senior Software Engineer Backend,San Francisco,No especificada,"software (Técnica), sql (Técnica), c (Técnica), comunicación (Blanda)"
